,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,trackName,artistName,explicit,popularity
315,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,238805,4,Heat Waves,Highcloud,False,88
316,0.684,0.326,8,-14.036,1,0.0558,0.301,0.000504,0.151,0.487,75.012,4G98uyDGgYieUCC7xaxgF3,230400,4,Bandar,SangeetKir,False,33
317,0.411,0.322,9,-10.267,0,0.0306,0.97,0.938,0.188,0.145,129.441,2SuP6X9RhN3FLJo5PYhJtG,134346,4,Call Of Silence (Attack On Titan),Lo-Fi Luke,False,45
318,0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,2l3dFxtoSMgMQVyRIUHjpz,191869,4,Akhiyaan,Mitraz,False,75
319,0.609,0.582,6,-11.592,1,0.0316,0.71,0.833,0.363,0.21,103.856,2SnIt4OHXaqk0VW7sGDG2o,135173,4,sweater weather - slowed + reverb,omgkirby,False,68
320,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,40riOy7x9W7GXjyGp4pjAv,391376,4,Hotel California - 2013 Remaster,Eagles,False,85
321,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
322,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
323,0.644,0.818,6,-5.924,0,0.0549,0.431,2.62e-05,0.0806,0.789,118.477,7fW9J3EpVWVN1ouv0slAs0,266653,4,"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")",KK,False,69
324,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,3UmaczJpikHgJFyBTAJVoz,404107,4,Stan,Eminem,True,85
325,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,0I3q5fE6wg7LIfHGngUTnV,270507,4,Ms. Jackson,Outkast,True,83
326,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,3yfqSUWxFvZELEM4PmlwIR,284200,4,The Real Slim Shady,Eminem,True,89
327,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,561jH07mF1jHuk7KlaeF0s,250760,4,Mockingbird,Eminem,True,93
328,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,503OTo2dSqe7qk76rgsbep,270587,4,Still D.R.E.,Dr. Dre,True,85
329,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,6or1bKJiZ06IlK0vFvY75k,363521,4,Rap God,Eminem,True,79
330,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,7iXF2W9vKmDoGAhlHdpyIa,222293,4,Forgot About Dre,Dr. Dre,True,81
331,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
332,0.662,0.4,2,-11.2,1,0.0548,0.735,1.65e-05,0.0863,0.617,79.972,6zAvNLJkdyRApUHnlJjKfO,298987,4,Jhoom R&B Mix,Ali Zafar,False,71
333,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
334,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
335,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
336,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,2qgXrzJsry4KgYoJCpuaul,233630,4,Choo Lo,The Local Train,False,68
